_id,name,author,translator,artist,editor,publishing,year,series,collection,genre,weight,dimensions.length,dimensions.width,dimensions.height,rating,price,link
941280,Сломанное небо Салактионы,Лисьев Андрей Владимирович,,,,Четыре,2023,,,Современная отечественная проза,984,218,155,30,10,1951,https://www.labirint.ru/books/941280/
784642,Море троллей,Фармер Нэнси,Лихачева Светлана Борисовна,Бабич Григорий,,Волчок,2021,Зеленое солнце,,Исторические повести и рассказы,940,220,158,41,9,1956,https://www.labirint.ru/books/784642/
898951,Silverweed Road,Crook Simon,,,,Harper Voyager,2022,,,,540,242,162,30,0,3429,https://www.labirint.ru/books/898951/
898868,Extinction,Somer Bradley,,,,Harper Voyager,2022,,,,502,240,160,25,10,3429,https://www.labirint.ru/books/898868/
905917,Evolution,Baxter Stephen,,,,Gollancz,2003,,,,402,180,110,30,0,3470,https://www.labirint.ru/books/905917/
848707,"Глаз дракона, или Удивительная история необычной голубятни",Адылова Алина,,,,"Общенациональная ассоциация молодых музыкантов, поэтов и прозаиков",2022,Моя первая сказка,,,262,216,153,10,10,2013,https://www.labirint.ru/books/848707/
716931,Желтый Эскадроль,Галиев Александр,,,Романенко Л.,"Общенациональная ассоциация молодых музыкантов, поэтов и прозаиков",2019,Библиотека классической и современной прозы,,Современная отечественная проза,830,210,150,38,10,2017,https://www.labirint.ru/books/716931/
541352,Чулан Синей Бороды,Булычев Кир,,Медведев Евгений Алексеевич,Мещеряков Вадим Юрьевич,Издательский дом Мещерякова,2016,БИСС,,,458,203,174,15,8.48,691,https://www.labirint.ru/books/541352/
902467,Hare House,Hinchcliffe Sally,,,,Macmillan,2022,,,,424,225,145,30,0,3540,https://www.labirint.ru/books/902467/
910309,Widowland,Carey C. J.,,,,Quercus,2021,,,Детективы и триллеры на английском языке,672,242,162,38,9,3545,https://www.labirint.ru/books/910309/
909993,Orfeia,Harris Joanne,,Hawkins Bonnie Helen,,Gollancz,2020,,,,278,205,135,20,9,3545,https://www.labirint.ru/books/909993/
909407,The Cartographers,Shepherd Peng,,,,Orion,2022,,,,496,235,155,30,0,3545,https://www.labirint.ru/books/909407/
956250,The Mountain in the Sea,Nayler Ray,,,,Weidenfeld & Nicolson,2022,,,,705,240,160,40,0,3564,https://www.labirint.ru/books/956250/
938112,О фантастических мирах. Комплект из 3-х книг,"Игнатова Анна Сергеевна, Донценко Татьяна Евгеньевна, Каграманова Екатерина Размиковна",,Критарова Алина,,Пять четвертей,2023,Комплекты,,,1228,215,145,70,10,2227,https://www.labirint.ru/books/938112/
792483,Иерусалим,Мур Алан,Карпов Сергей,,,АСТ,2021,Великие романы,,Современная зарубежная проза,1570,242,175,60,8.73,2122,https://www.labirint.ru/books/792483/
983863,Blue Skies,Boyle T.C.,,,,Bloomsbury,2023,,,,570,232,152,30,0,3587,https://www.labirint.ru/books/983863/
970725,Космоолухи. Киберканикулы,Громыко Ольга Николаевна,,Белоголовская Гета,,Альфа-книга,2023,Фантастический боевик,,Современная отечественная проза,268,207,131,21,9,549,https://www.labirint.ru/books/970725/
903284,Invisible Sun,Stross Charles,,,,Tor,2021,Empire Games,,,494,235,135,30,0,3649,https://www.labirint.ru/books/903284/
802803,Земля Серебряных Яблок,Фармер Нэнси,Лихачева Светлана Борисовна,Бабич Григорий,,Волчок,2021,Зеленое солнце,,Исторические повести и рассказы,990,223,158,38,9.36,2088,https://www.labirint.ru/books/802803/
955614,Eden,Crace Jim,,,,Picador,2022,,,,340,235,155,20,0,3664,https://www.labirint.ru/books/955614/
971309,Звезда КЭЦ,Беляев Александр Романович,,,,Вече,2023,Собрание сочинений А.Беляева,,Классическая отечественная проза,390,210,130,20,10,512,https://www.labirint.ru/books/971309/
848214,Микки-7,Эштон Эдвард,Валеева Мария,,,Аркадия,2023,Семь солнц,,Современная зарубежная проза,458,208,133,23,9.32,952,https://www.labirint.ru/books/848214/
930240,Невероятные приключения Салаи в Москве,Кувшинов С. В.,,Груздев С. М.,,РГГУ,2022,,,,245,300,210,10,0,2138,https://www.labirint.ru/books/930240/
938105,Любителям пощекотать нервы. Комплект из 3-х книг,"Донценко Татьяна Евгеньевна, Стрельникова Кристина Ивановна",,,,Пять четвертей,2023,Комплекты,,"Повести и рассказы о детях, Приключения. Детективы",1640,216,146,92,9.77,3206,https://www.labirint.ru/books/938105/
905023,Amongst Our Weapons,Aaronovitch Ben,,,,Gollancz,2022,Rivers of London,,,545,225,140,40,9.5,3754,https://www.labirint.ru/books/905023/
956086,Dazzling,Emelumadu Chikodili,,,,Wildfire,2023,,,,584,241,162,31,0,3754,https://www.labirint.ru/books/956086/
652273,За пределом времен. Диего и рейнджеры Мегатлантики,Балтазар Арманд,Ющенко Ирина,,Носова Т.,Карьера Пресс,2018,,,,1178,235,170,33,9,2480,https://www.labirint.ru/books/652273/
881277,Ordinary Monsters,Miro J. M.,,,,Bloomsbury,2022,,,Young adult на английском языке,988,234,153,49,10,3770,https://www.labirint.ru/books/881277/
824684,Острова Блаженных,Фармер Нэнси,Лихачева Светлана Борисовна,Бабич Григорий,,Волчок,2022,Зеленое солнце,,Исторические повести и рассказы,984,223,160,38,8.69,2160,https://www.labirint.ru/books/824684/
963527,The Whispering Muse,Purcell Laura,,,,Raven Books,2023,,,Исторические романы на английском языке,584,242,160,28,10,3780,https://www.labirint.ru/books/963527/
682236,История научной фантастики Джеймса Кэмерона,Кэмерон Джеймс,Ионов Алексей,,Бакулин Вячеслав Александрович,АСТ,2019,,,Артбуки. Игровые миры. Вселенные,1050,248,198,24,8.4,3728,https://www.labirint.ru/books/682236/
919308,Cattywampus,Van Otterloo Ash,,,,Scholastic Inc.,2020,,,,378,220,148,30,0,3830,https://www.labirint.ru/books/919308/
918976,A Touch of Ruckus,Van Otterloo Ash,,,,Scholastic Inc.,2021,,,,326,215,146,20,0,3830,https://www.labirint.ru/books/918976/
954203,Our Share of Night,Enriquez Mariana,,,,Granta Publication,2022,,,,1048,240,160,60,9,3849,https://www.labirint.ru/books/954203/
973242,Doctor Who. Only Human,Roberts Gareth,,,,BBC books,2013,Doctor Who,,,170,197,130,15,8,3853,https://www.labirint.ru/books/973242/
